2,Robert Carradine, Billy Dee Williams, Valerie Bertinelli, Peter Graves
3,Jack Campbell, Anna Lise Phillips, Katie Moore, Hamish Phillips
4,Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry
5,N/A,N/A,,
6,Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson
7,Jim Belushi, Mel Harris, Kevin Tighe, Ed O'Neill
8,Louie Anderson, Richard Lewis, Richard Belzer, Franklyn Ajaye
9,Treat Williams, Joe Piscopo, Lindsay Frost, Darren McGavin
10,Clint Howard, R.G. Armstrong, Joe Cortese, Claude Earl Jones
11,Joe Pesci, Danny Glover, Rosanna Arquette, Lynn Whitfield
12,Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker
13,Christopher Reeve, Richard Pryor, Jackie Cooper, Marc McClure
14,Christopher Reeve, Richard Pryor, Jackie Cooper, Marc McClure
15,Brendon Ryan Barrett, Gay Thomas Wilson, Raquel Beaudene, Claire Forlani
16,Burt Reynolds, Jack Weston, Tom Skerritt, Raquel Welch
17,Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave
18,Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin
20,Mario Adorf, Anthony Dawson, Marquard Bohm, Mascha Rabben
21,Jim Belushi, Louis Gossett Jr., Rae Dawn Chong, Michael Wright
22,George Burns, Charlie Schlatter, Tony Roberts, Anita Morris
23,Michael Caine, Elizabeth McGovern, Peter Riegert, Swoosie Kurtz
24,Eric Walker, Warwick Davis, Fionnula Flanagan, Guy Boyd
25,Maz Jobrani,Maz Jobrani,,
26,Michael Ironside, Lee Grant, Linda Purl, William Shatner
27,Jack Nicholson, Michelle Pfeiffer, James Spader, Kate Nelligan
28,Stephen Geoffreys, Patrick O'Bryan, Sandy Dennis, Jim Metzler
29,Michiel Huisman, Carla Gugino, Henry Thomas, Elizabeth Reaser
30,Ricki Lake, Craig Sheffer, Nada Despotovich, Paul Benedict
31,Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow
32,Kurt McKinney, Jean-Claude Van Damme, J.W. Fails, Kathie Sileno
33,Wilford Brimley, Warwick Davis, Aubree Miller, Siân Phillips
34,Sara Gilbert, Drew Barrymore, Tom Skerritt, Cheryl Ladd
36,Pelle Hvenegaard, Max von Sydow, Erik Paaske, Björn Granath
37,Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy
38,Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake
39,Andrew Dice Clay, Wayne Newton, Priscilla Presley, Morris Day
40,Gary Busey, Mimi Rogers, Michael McKean, Kurt Christopher Kinder
41,Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie
42,Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano
43,Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison
45,Matthew Labyorteaux, Kristy Swanson, Michael Sharrett, Anne Twomey
46,Glynis Johns, Steve Railsback, Ronald France, Siphiwe Mlangeni
47,Lou Diamond Phillips, Lulu Wilson, Janet Kidder, Michael Coleman
48,Matthias Schweighöfer, Jessica Schwarz, Jan-Gregor Kremp, Florian Lukas
49,Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard
50,Hulk Hogan, Joan Severance, Kurt Fuller, Tommy 'Tiny' Lister
51,Marlon Wayans, Brad Dourif, Esther Scott, Debra Jo Rupp
52,Jim Belushi, Linda Hamilton, Michael Caine, Jon Lovitz
53,Eric McCormack, Carl Bressler, Ethan Glazer, Phyllis Franklin
54,Kurt Thomas, Tetchie Agbayani, Richard Norton, Edward Bell
55,Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers
57,Leelee Sobieski, Diane Lane, Stellan Skarsgård, Bruce Dern
58,Kathleen Turner, Dennis Quaid, Fiona Shaw, Stanley Tucci
59,Tami Erin, David Seaman, Cory Crow, Eileen Brennan
60,Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb
61,Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle
62,Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy
63,Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young
64,Pat Morita, Hilary Swank, Michael Ironside, Constance Towers
65,Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack
66,Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg
67,Michael Jai White, John Leguizamo, Martin Sheen, Theresa Randle
68,Christian Bale, Matthew McConaughey, Izabella Scorupco, Gerard Butler
69,Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz
70,David Heavener, Rachelle Carson, Steve DeVorkin, Danielle Brisebois
72,Gerard Butler, Christopher Plummer, Jonny Lee Miller, Justine Waddell
74,Rita Wilson, Victor Garber, Tushka Bergen, Mae Whitman
75,Halle Berry, Bruce Willis, Giovanni Ribisi, Richard Portnow
76,John Stamos, Vanity, Gene Simmons, George Lazenby
77,Bob Hoskins, Denzel Washington, Chloe Webb, Roger E. Mosley
78,Gary Busey, Everett McGill, Corey Haim, Megan Follows
79,Karen Allen, Chris Mulkey, Ted Marcoux, Wil Horneff
80,Michael Felsher, Tiffany Helm, Harry Manfredini, Tom Morga
81,John Kassir, Dennis Miller, Erika Eleniak, Angie Everhart
82,Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell
83,Jim Belushi, Christine Tucci, James Handy, Wade Williams
84,Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike
85,Joshua Leonard, Jordan Ladd, Natasha Lyonne, Lance Henriksen
86,Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton
87,Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf
88,Adam Sandler, Jackie Sandler, Austin Stout, Kevin Nealon
89,Mimi Rogers, Darwyn Carson, Patrick Bauchau, Marvin Elkins
90,Mary Steenburgen, Gary Basaraba, Harry Dean Stanton, Arthur Hill
91,Cleopatra Coleman, Ryan Guzman, Misha Gabriel Hamilton, Michael 'Xeno' Langebeck
92,John Cusack, Luke Evans, Alice Eve, Brendan Gleeson
93,Tyler Perry, Edward Burns, Matthew Fox, Jean Reno
94,Larry the Cable Guy, David Mackey, Erin Beute, John Connon
95,Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger
96,Steven Seagal, Michael Caine, Joan Chen, John C. McGinley
97,James Spader, Kim Richards, Paul Mones, Matt Clark
98,Paul Gross, Peter Berg, Finola Hughes, Teri Polo
99,Emilio Estevez, Mick Jagger, Rene Russo, Anthony Hopkins
100,Jim Belushi, Charles Grodin, Anne De Salvo, Loryn Locklin
101,David Schwimmer, Gwyneth Paltrow, Michael Rapaport, Toni Collette
102,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman
104,Nastassja Kinski, Malcolm McDowell, John Heard, Annette O'Toole
105,Meg Ryan, Matthew Broderick, Kelly Preston, Tchéky Karyo
106,Denzel Washington, Kelly Lynch, Russell Crowe, Stephen Spinella
107,Joe Don Baker, Elizabeth Hartman, Leif Garrett, Dawn Lyn
108,David Hyde Pierce, Mackenzie Astin, Carmen Electra, Markus Redmond
109,Sean Patrick Flanery, Norman Reedus, Billy Connolly, Clifton Collins Jr.
110, Sci-Fi,Charlie Sheen, Hilary Duff, Eva Longoria
111,Sinbad, Phil Hartman, Kim Greist, Kim Murphy
112,Robert Davi, Robert Z'Dar, Caitlin Dulany, Gretchen Becker
113,Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston
114,Shaquille O'Neal, Annabeth Gish, Judd Nelson, Richard Roundtree
115,Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union
117,Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J
118,Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Jim Brown
119,Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle
120,Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker
121,Adam Sandler, Kevin James, Chris Rock, David Spade
122,Mark Dacascos, Stacey Travis, Geoffrey Lewis, Paco Christian Prieto
123,Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner
124,Jeff Davis, Heather Langenkamp, Miko Hughes, Matt Winston
125,Jeff Fahey, Lindsay Duncan, Kim Delaney, Zakes Mokae
126,Drew Barrymore, James Woods, Alan King, Kenneth McMillan
127,Kelli Maroney, Tony O'Dell, Russell Todd, Karrie Emerson
128,Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty
129,Liev Schreiber, Beth Toussaint, Roger Jackson, Kelly Rutherford
130,John Ritter, Pam Dawber, Jeffrey Jones, David Tom
131,Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie
132,Cynthia Rothrock, Richard Norton, Keith Cooke, Doug Wright
133,Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara
134,Michael E. Knight, Phoebe Cates, Emmanuelle Béart, David Dukes
135,Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis
136,Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse
137,Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson
138,Christopher Shyer, Ray Galletti, Eileen Pedde, Rekha Sharma
139,Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz
141,Ethan Hawke, Selena Gomez, Jon Voight, Rebecca Budig
142,Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead
143,Shô Kosugi, James Booth, Donna Kei Benz, Norman Burton
144,Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty
145,Chuck Pfarrer, Robert Apisa, Arnold Vosloo, Lance Henriksen
146,Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein
147,Michael Caine, Joseph Bologna, Valerie Harper, Michelle Johnson
148,Griffin Miner, Marcia Gay Harden, Devon Gearhart, Julie Upton
149,Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis
150,John Stockwell, Danielle von Zerneck, Fisher Stevens, Raphael Sbarge
151,Elijah Wood, Jason Alexander, Julia Louis-Dreyfus, Marc Shaiman
152,Joe Don Baker, Leif Green, Jim Greenleaf, Scott McGinnis
153,Ralph Macchio, Pat Morita, Robyn Lively, Thomas Ian Griffith
154,Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes
155,Clint Eastwood, Sondra Locke, Geoffrey Lewis, Beverly D'Angelo
156,Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson
157,Jesse Ventura, Sven-Ole Thorsen, Damian Lee, Jerry Levitan
158,David Naughton, Patrick Houser, Tracy Smith, John Patrick Reger
159,Leigh McCloskey, Dick Butkus, Randi Brooks, Chuck McCann
160,Hank Azaria, Janeane Garofalo, William H. Macy, Kel Mitchell
161,Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa
162,John Travolta, Hugh Jackman, Halle Berry, Don Cheadle
163,Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson
164,Burt Reynolds, Ned Beatty, Jim Nabors, Parker Stevenson
165,Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings
