Title,Director,Director2,Episode,IMDb,Rating,Runtime,Release Date,Genre,Genre3,Genre4,Genre5,Genre6,Genre7,Actor,Actor8,Actor9,Actor10,Writer,Writer11,Writer12,Writer13,,,,,
Number One with a Bullet,Jack Smight,,2,4.9,R,103,1987-02-27,Action, Crime, Thriller,,,,Robert Carradine, Billy Dee Williams, Valerie Bertinelli, Peter Graves,Gail Morgan Hickman story, Gail Morgan Hickman screenplay, Andrew Kurtzman screenplay, Rob Riley screenplay,,,,,
The Pack,Nick Robertson,,3,5,NOT RATED,90,2016-02-05,Horror, Thriller,,,,,Jack Campbell, Anna Lise Phillips, Katie Moore, Hamish Phillips,Evan Randall Green,,,,,,,,
Congo,Frank Marshall,,4,5.1,PG-13,109,1995-06-09,Action, Adventure, Mystery, Sci-Fi,,,Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry,Michael Crichton novel, John Patrick Shanley screenplay,,,,,,,
Psychomania: The Best of Psychedelic Rock,N/A,,5,N/A,N/A,N/A,1993-09-26,Music,,,,,,N/A,N/A,,,,,,,,,,,
The Hand That Rocks the Cradle,Curtis Hanson,,6,6.6,R,110,1992-01-10,Drama, Thriller,,,,,Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson,Amanda Silver,,,,,,,,
K-9,Rod Daniel,,7,6,PG-13,101,1989-04-28,Action, Comedy, Crime,,,,Jim Belushi, Mel Harris, Kevin Tighe, Ed O'Neill,Steven Siegel, Scott Myers,,,,,,,
The Wrong Guys,Danny Bilson,,8,5,PG,86,1988-05-13,Comedy,,,,,,Louie Anderson, Richard Lewis, Richard Belzer, Franklyn Ajaye,Paul De Meo, Danny Bilson,,,,,,,
Dead Heat,Mark Goldblatt,,9,6,R,86,1988-05-06,Action, Comedy, Horror, Sci-Fi, Thriller,,Treat Williams, Joe Piscopo, Lindsay Frost, Darren McGavin,Terry Black,,,,,,,,
Evilspeak,Eric Weston,,10,5.7,R,97,1982-02-26,Drama, Horror,,,,,Clint Howard, R.G. Armstrong, Joe Cortese, Claude Earl Jones,Joseph Garofalo screenplay, Eric Weston screenplay, Joseph Garofalo story,,,,,,
Gone Fishin',Christopher Cain,,11,4.7,PG,94,1997-05-30,Comedy, Crime,,,,,Joe Pesci, Danny Glover, Rosanna Arquette, Lynn Whitfield,Jill Mazursky, J.J. Abrams,,,,,,,
The Net,Irwin Winkler,,12,5.9,PG-13,114,1995-07-28,Action, Crime, Drama, Mystery, Thriller,,Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker,John Brancato, Michael Ferris,,,,,,,
