The Pilot / Wired,,Episode 001,1,
Number One with a Bullet,,Episode 002,2,
The Pack,,Episode 003,3,
Congo,,Episode 004,4,
The Death Wheelers,1973,Episode 005,5,Psychomania
The Hand,1981,Episode 006,6,
K-9,,Episode 007,7,
The Wrong Guys,,Episode 008,8,
Dead Heat,,Episode 009,9,
Evilspeak,,Episode 010,10,
Gone Fishin',,Episode 011,11,
The Net,,Episode 012,12,
Superman III ,1983,Episode 013,13,
Superman IV,1987,Episode 014,14,
Boys and Girls,,Episode 015,15,
Fuzz,,Episode 016,16,
Deep Impact,,Episode 017,17,
Captain America,1990,Episode 018,18,
Deadlock,,Episode 020,20,
The Principal,,Episode 021,21,
18 Again!,,Episode 022,22,
A Shock to the System,,Episode 023,23,
The Ewok Adventure,,Episode 024,24,
Dark Angel,1990,Episode 025,25,I Come in Peace
Visiting Hours,,Episode 026,26,
Wolf,,Episode 027,27,
976-EVIL,,Episode 028,28,
The Haunting,1999,Episode 029,29,
Babycakes,,Episode 030,30,
Judge Dredd,,Episode 031,31,
"No Retreat, No Surrender",,Episode 032,32,
Ewoks: The Battle for Endor,,Episode 033,33,
Poison Ivy,,Episode 034,34,
Wired,1989,Episode 035,35,Wired: The Return
The Conqueror,1956,Episode 036,36,
Jack Frost,1998,Episode 037,37,
Money Train,,Episode 038,38,
The Adventures of Ford Fairlane,,Episode 039,39,
Hider in the House,,Episode 040,40,
Halloween III: Season of the Witch,,Episode 041,41,
Zandalee,,Episode 042,42,
Vampire in Brooklyn,,Episode 043,43,
Star Wars,1999,Episode 044,44,Star Wars Episode 1: The Phantom Menace
Deadly Friend,,Episode 045,45,
Nukie,,Episode 046,46,
Cop and a Half,,Episode 047,47,
Off Beat,,Episode 048,48,
Hackers,,Episode 049,49,
No Holds Barred,,Episode 050,50,
Senseless,,Episode 051,51,
Mr. Destiny,,Episode 052,52,
Free Enterprise,,Episode 053,53,
Gymkata,,Episode 054,54,
Rocky IV,,Episode 055,55,
Philadelphia Experiment,1993,Episode 056,56,
The Glass House,,Episode 057,57,
Undercover Blues,,Episode 058,58,
The New Adventures of Pippi Longstocking,,Episode 059,59,
The Skulls,,Episode 060,60,
