Title,Director,IMdB Rating,Rating,Runtime,Release Date,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Actor,Actor7,Actor8,Actor9,Writer,Writer10,Writer11,Writer12,Writer13,Writer14,Writer15,Writer16,Writer17,,,
Sidekicks,Aaron Norris,5,PG,101 min,30-Apr-93,Action, Adventure, Comedy,,,,Beau Bridges, Jonathan Brandis, Mako, Julia Nickson,Lou Illar (story), Galen Thompson (screenplay), Lou Illar (screenplay),,,,,,,,,
Jason Goes to Hell: The Final Friday,Adam Marcus,4.3,R,87 min,13-Aug-93,Fantasy, Horror, Thriller,,,,John D. LeMay, Kari Keegan, Kane Hodder, Steven Williams,Jay Huguely (story), Adam Marcus (story), Dean Lorey (screenplay), Jay Huguely (screenplay),,,,,,,,
Winter's Tale,Akiva Goldsman,6.2,PG-13,118 min,14-Feb-14,Drama, Fantasy, Mystery, Romance,,,Colin Farrell, Matt Bomer, Lucy Griffiths, Michael Crane,Akiva Goldsman (screenplay), Mark Helprin (novel),,,,,,,,,,
Captain America,Albert Pyun,3.3,PG-13,97 min,14-Dec-90,Action, Adventure, Sci-Fi,,,,Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin,Joe Simon (characters), Jack Kirby (characters), Stephen Tolkin (story), Lawrence J. Block (story), Stephen Tolkin (screenplay),,,,,,,
Dollman,Albert Pyun,5.8,R,79 min,12-Mar-92,Action, Comedy, Sci-Fi,,,,Tim Thomerson, Jackie Earle Haley, Kamala Lopez, Humberto Ortiz,Charles Band (original story), Chris Roghair (screenplay),,,,,,,,,,
Gods of Egypt,Alex Proyas,5.4,PG-13,127 min,26-Feb-16,Action, Adventure, Fantasy,,,,Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau,Matt Sazama, Burk Sharpless,,,,,,,,,,
Tooth Fairy 2,Alex Zamm,3.9,PG,90 min,6-Mar-12,Comedy, Family,,,,,Larry the Cable Guy, David Mackey, Erin Beute, John Connon,Ben Zazove,,,,,,,,,,,
Jingle All the Way 2,Alex Zamm,3.9,PG,93 min,2-Dec-14,Comedy, Family,,,,,Larry the Cable Guy, Brian Stepanek, Anthony Carelli, Kennedi Clements,Randy Kornfield (based on &quot;Jingle All the Way&quot; written by), Stephen Mazur,,,,,,,,,,
Death Wish V: The Face of Death,Allan A. Goldstein,4.8,R,95 min,14-Jan-94,Action, Crime, Drama, Thriller,,,Charles Bronson, Lesley-Anne Down, Michael Parks, Chuck Shamata,Brian Garfield (characters), Michael Colleary (story), Allan A. Goldstein (story), Allan A. Goldstein (screenplay),,,,,,,,
Samurai Cop,Amir Shervan,4.7,UNRATED,96 min,30-Nov-91,Action, Crime, Thriller,,,,Robert Z'Dar, Mathew Karedas, Janis Farley, Mark Frazer,Amir Shervan,,,,,,,,,,,
