2,Number One with a Bullet,Jack Smight,
3,The Pack,Nick Robertson,
4,Congo,Frank Marshall,
5,Psychomania: The Best of Psychedelic Rock,N/A,
6,The Hand That Rocks the Cradle,Curtis Hanson,
7,K-9,Rod Daniel,
8,The Wrong Guys,Danny Bilson,
9,Dead Heat,Mark Goldblatt,
10,Evilspeak,Eric Weston,
11,Gone Fishin',Christopher Cain,
12,The Net,Irwin Winkler,
13,Superman III,Richard Lester,
14,Superman III,Richard Lester,
15,Boys and Girls,Robert Iscove,
16,Fuzz,Richard A. Colla,
17,Deep Impact,Mimi Leder,
18,Captain America,Albert Pyun,
20,Deadlock,Roland Klick,
21,The Principal,Christopher Cain,
22,18 Again!,Paul Flaherty,
23,A Shock to the System,Jan Egleson,
24,The Ewok Adventure,John Korty,
25,Maz Jobrani: I Come in Peace,Maz Jobrani,
26,Visiting Hours,Jean-Claude Lord,
27,Wolf,Mike Nichols,
28,976-EVIL,Robert Englund,
29,The Haunting of Hill House,N/A,
30,Babycakes,Paul Schneider,
31,Judge Dredd,Danny Cannon,
32,No Retreat  No Surrender,Corey Yuen,
33,Ewoks: The Battle for Endor,Jim Wheat, Ken Wheat
34,Poison Ivy,Katt Shea,
36,Pelle the Conqueror,Bille August,
37,Jack Frost,Troy Miller,
38,Money Train,Joseph Ruben,
39,The Adventures of Ford Fairlane,Renny Harlin,
40,Hider in the House,Matthew Patrick,
41,Halloween III: Season of the Witch,Tommy Lee Wallace,
42,Zandalee,Sam Pillsbury,
43,Vampire in Brooklyn,Wes Craven,
45,Deadly Friend,Wes Craven,
46,Nukie,Sias Odendaal, Michael Pakleppa
47,Cop and a Half: New Recruit,Jonathan A. Rosenbaum,
48,Off Beat,Hendrik Hölzemann,
49,Hackers,Iain Softley,
50,No Holds Barred,Thomas J. Wright,
51,Senseless,Penelope Spheeris,
52,Mr. Destiny,James Orr,
53,Free Enterprise,Robert Meyer Burnett,
54,Gymkata,Robert Clouse,
55,Rocky IV,Sylvester Stallone,
57,The Glass House,Daniel Sackheim,
58,Undercover Blues,Herbert Ross,
59,The New Adventures of Pippi Longstocking,Ken Annakin,
60,The Skulls,Rob Cohen,
61,Men in Black II,Barry Sonnenfeld,
62,Cocoon,Ron Howard,
63,Jaws: The Revenge,Joseph Sargent,
64,The Next Karate Kid,Christopher Cain,
65,Nine Months,Chris Columbus,
66,Inspector Gadget,David Kellogg,
67,Spawn,Mark A.Z. Dippé,
68,Reign of Fire,Rob Bowman,
69,Twister,Jan de Bont,
70,Kill Crazy,David Heavener,
72,Dracula 2000,Patrick Lussier,
74,Invisible Child,Joan Micklin Silver,
75,Perfect Stranger,James Foley,
76,Never Too Young to Die,Gil Bettman,
77,Heart Condition,James D. Parriott,
78,Silver Bullet,Daniel Attias,
79,Ghost in the Machine,Rachel Talalay,
80,New Beginnings: The Making of Friday the 13th Part V - A New Beginning,N/A,
81,Bordello of Blood,Gilbert Adler,
82,Bless the Child,Chuck Russell,
83,K-911,Charles T. Kanganis,
84,Die Another Day,Lee Tamahori,
85,Madhouse,William Butler,
86,Star Trek: Insurrection,Jonathan Frakes,
87,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,
88,Eight Crazy Nights,Seth Kearsley,
89,The Rapture,Michael Tolkin,
90,One Magic Christmas,Phillip Borsos,
91,Step Up Revolution,Scott Speer,
92,The Raven,James McTeigue,
93,Alex Cross,Rob Cohen,
94,Tooth Fairy 2,Alex Zamm,
95,This Means War,McG,
96,On Deadly Ground,Steven Seagal,
97,Tuff Turf,Fritz Kiersch,
98,Aspen Extreme,Patrick Hasburgh,
99,Freejack,Geoff Murphy,
100,Taking Care of Business,Arthur Hiller,
101,The Pallbearer,Matt Reeves,
102,Batman Forever,Joel Schumacher,
104,Cat People,Paul Schrader,
105,Addicted to Love,Griffin Dunne,
106,Virtuosity,Brett Leonard,
107,Walking Tall,Phil Karlson,
108,The Mating Habits of the Earthbound Human,Jeff Abugov,
109,The Boondock Saints II: All Saints Day,Troy Duffy,
110,Foodfight!,Lawrence Kasanoff,
111,Houseguest,Randall Miller,
112,Maniac Cop 3: Badge of Silence,William Lustig,
113,Godzilla,Gareth Edwards,
114,Steel,Kenneth Johnson,
115,Bad Boys II,Michael Bay,
117,S.W.A.T.,Clark Johnson,
118,The Running Man,Paul Michael Glaser,
119,Volcano,Mick Jackson,
120,She's All That,Robert Iscove,
121,Grown Ups 2,Dennis Dugan,
122,Only the Strong,Sheldon Lettich,
123,Cliffhanger,Renny Harlin,
124,New Nightmare,Wes Craven,
125,Body Parts,Eric Red,
126,Cat's Eye,Lewis Teague,
127,Chopping Mall,Jim Wynorski,
128,Casper,Brad Silberling,
129,Scream 3,Wes Craven,
130,Stay Tuned,Peter Hyams,
131,Deep Blue Sea,Renny Harlin,
132,China O'Brien,Robert Clouse,
133,Copycat,Jon Amiel,
134,Date with an Angel,Tom McLoughlin,
